PROVNUM,PROVNAME,CITY,STATE,COUNTY_NAME,COUNTY_FIPS,CY_Qtr,WorkDate,MDScensus,Hrs_RNDON,Hrs_RNDON_emp,Hrs_RNDON_ctr,Hrs_RNadmin,Hrs_RNadmin_emp,Hrs_RNadmin_ctr,Hrs_RN,Hrs_RN_emp,Hrs_RN_ctr,Hrs_LPNadmin,Hrs_LPNadmin_emp,Hrs_LPNadmin_ctr,Hrs_LPN,Hrs_LPN_emp,Hrs_LPN_ctr,Hrs_CNA,Hrs_CNA_emp,Hrs_CNA_ctr,Hrs_NAtrn,Hrs_NAtrn_emp,Hrs_NAtrn_ctr,Hrs_MedAide,Hrs_MedAide_emp,Hrs_MedAide_ctr,Has_Provider_ID,Census_Status,Total_Nurse_Hours,HPRD_Total,Hour_Outlier_Flag
676345.0,BEL AIR AT TERAVISTA,ROUND ROCK,TX,Williamson,491,2025Q1,2025-03-29,92.0,0.0,0.0,0.0,0.0,0.0,0.0,38.28,38.28,0.0,0.0,0.0,0.0,68.51,68.51,0.0,129.58,129.58,0.0,0.0,0.0,0.0,30.72,30.72,0.0,Valid_ID,Valid_Census,236.37,2.5692391304347826,Normal_Hours
15392.0,CYPRESS COVE CARE CENTER,MUSCLE SHOALS,AL,Colbert,33,2025Q1,2025-03-08,82.0,0.0,0.0,0.0,0.0,0.0,0.0,40.85,40.85,0.0,0.0,0.0,0.0,24.43,24.43,0.0,101.06,101.06,0.0,6.0,6.0,0.0,23.51,23.51,0.0,Valid_ID,Valid_Census,166.34,2.028536585365854,Normal_Hours
555199.0,COAST CARE CONVALESCENT CENTER,BALDWIN PARK,CA,Los Angeles,37,2025Q1,2025-01-16,45.0,8.0,8.0,0.0,7.0,7.0,0.0,7.87,7.87,0.0,0.0,0.0,0.0,59.52,59.52,0.0,110.07,110.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Valid_ID,Valid_Census,192.46,4.276888888888888,Normal_Hours
105568.0,WINDSOR WOODS REHAB AND HEALTHCARE CENTER,HUDSON,FL,Pasco,101,2025Q1,2025-01-12,98.0,0.0,0.0,0.0,7.5,7.5,0.0,9.75,9.75,0.0,2.25,2.25,0.0,79.5,79.5,0.0,180.5,180.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Valid_ID,Valid_Census,279.5,2.8520408163265305,Normal_Hours
365264.0,O'NEILL HEALTHCARE BAY VILLAGE,BAY VILLAGE,OH,Cuyahoga,35,2025Q1,2025-02-21,112.0,8.0,8.0,0.0,26.75,18.75,8.0,22.75,22.75,0.0,15.0,15.0,0.0,112.25,112.25,0.0,177.75,109.25,68.5,0.0,0.0,0.0,6.75,6.75,0.0,Valid_ID,Valid_Census,362.5,3.236607142857143,Normal_Hours
365072.0,ANNA MARIA OF AURORA,AURORA,OH,Portage,133,2025Q1,2025-03-11,93.0,8.0,8.0,0.0,25.5,25.5,0.0,30.3,23.25,7.05,16.0,16.0,0.0,80.0,80.0,0.0,238.0,238.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Valid_ID,Valid_Census,397.8,4.27741935483871,Normal_Hours
515021.0,MADISON PARK HEALTHCARE,HUNTINGTON,WV,Cabell,11,2025Q1,2025-02-23,40.0,0.0,0.0,0.0,0.0,0.0,0.0,16.98,16.98,0.0,0.0,0.0,0.0,48.0,48.0,0.0,75.31,75.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Valid_ID,Valid_Census,140.29000000000002,3.5072500000000004,Normal_Hours
65015.0,MOUNTAIN VISTA HEALTH CENTER,WHEAT RIDGE,CO,Jefferson,59,2025Q1,2025-03-01,85.0,0.0,0.0,0.0,0.0,0.0,0.0,30.5,24.5,6.0,0.0,0.0,0.0,115.72,47.25,68.47,203.5,203.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Valid_ID,Valid_Census,349.72,4.114352941176471,Normal_Hours
555318.0,VILLA RANCHO BERNARDO CARE CENTER,SAN DIEGO,CA,San Diego,73,2025Q1,2025-01-05,280.0,0.0,0.0,0.0,0.0,0.0,0.0,186.75,186.75,0.0,0.0,0.0,0.0,133.12,133.12,0.0,726.29,726.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Valid_ID,Valid_Census,1046.16,3.7362857142857138,High_Hours
295046.0,BOULDER CITY HOSPITAL SNF,BOULDER CITY,NV,Clark,3,2025Q1,2025-02-28,36.0,8.0,8.0,0.0,8.3,8.3,0.0,18.0,18.0,0.0,0.0,0.0,0.0,47.5,35.0,12.5,66.2,47.7,18.5,0.0,0.0,0.0,0.0,0.0,0.0,Valid_ID,Valid_Census,148.0,4.111111111111111,Normal_Hours
